epoch,steps,avg_total_loss,avg_tf_loss,avg_rl_loss,avg_cs_loss,avg_reward,elapsed_sec
1,16545,0.2436383023653174,0.15096881724674516,0.09152992173216934,0.0011395632974678114,5.379950627515439,142.09562039375305
2,16545,0.24095965525736016,0.14764333666389795,0.09290597966762909,0.0004103388199498386,5.379950627515439,287.76093220710754
3,16545,0.23928050762073363,0.14559390134822345,0.09325798485648272,0.00042862130252892256,5.379950627515439,432.47647047042847
4,16545,0.23798100375428224,0.14457329043540984,0.09294084612433592,0.00046686718318896415,5.379950627515439,583.3462808132172
5,16545,0.23935330858002096,0.14550723368220367,0.09354238266992539,0.00030369211441337764,5.379950627515439,745.488644361496
6,16545,0.23468791643474515,0.14350640736024936,0.09087653062849561,0.0003049783061055281,5.379950627515439,913.8406863212585
7,16545,0.24436782058401568,0.14894102220866806,0.09526850952817427,0.0001582888526034636,5.379950627515439,1079.4026045799255
8,16545,0.24053590907688524,0.14457730902133728,0.09590495206864899,5.364803839880543e-05,5.379950627515439,1255.6342570781708
9,16545,0.2414303147981276,0.14534678578637958,0.09600942568356718,7.410329378673233e-05,5.379950627515439,1447.5177223682404
10,16545,0.2408954957812511,0.14497925499955125,0.09578767675953906,0.00012856401326768308,5.379950627515439,1643.9588115215302
11,16545,0.24099384746960362,0.14485075600289346,0.09605367643729502,8.941502177129832e-05,5.379950627515439,1827.3809592723846
12,16545,0.24136722401723415,0.14552495952759778,0.09569453729047143,0.00014772731218657656,5.379950627515439,2005.2934036254883
13,16545,0.2417083587031952,0.14564681583415998,0.09600441823200687,5.712470726243952e-05,5.379950627515439,2186.3616771698
14,16545,0.24002682606969114,0.14424643635422066,0.09557744044988381,0.00020294928843221993,5.379950627515439,2366.2846763134003
15,16545,0.24190223387418042,0.14583245068754755,0.09597265639397029,9.712678088998475e-05,5.379950627515439,2555.1133131980896
16,16545,0.2447959753858355,0.1483743483132558,0.09638245744690334,3.916960353630513e-05,5.379950627515439,2747.1609585285187
17,16545,0.24468626599543836,0.14833748030739993,0.09627652385303143,7.226176509223732e-05,5.379950627515439,2937.697981595993
18,16545,0.24474087540306833,0.14833593071970597,0.09639421027580675,1.0734518425037666e-05,5.379950627515439,3131.7267305850983
19,16545,0.24473333228644054,0.1483359186251778,0.09638925722151782,8.156412763922982e-06,5.379950627515439,3337.221750974655
20,16545,0.24473290695037933,0.14833595434225696,0.0963895137510753,7.438944029532434e-06,5.379950627515439,3540.9398334026337
21,16545,0.2422092589311331,0.14645234369086008,0.09562251783009168,0.00013439738267242865,5.379950627515439,3729.615562438965
22,16545,0.239032863170566,0.14398598305950824,0.09479285398338533,0.00025402621814972487,5.379950627515439,3904.18700838089
23,16545,0.24486044922820496,0.14845939047834994,0.09633921225768462,6.184656292176318e-05,5.379950627515439,4092.1824717521667
24,16545,0.2445643816684787,0.14833929921635763,0.09612238836414057,0.00010269408986860413,5.379950627515439,4283.596171140671
25,16545,0.24455148560690462,0.14833591469881865,0.09610873714969063,0.00010683376556898464,5.379950627515439,4478.332114934921
26,16545,0.2447346911930847,0.14833589531244848,0.09637207854653748,2.6717326513669982e-05,5.379950627515439,4677.574994087219
27,16545,0.24474144844683357,0.14833595292081497,0.09638823294258558,1.7262652274950115e-05,5.379950627515439,4877.486033678055
28,16545,0.24473579493929662,0.1483359768691741,0.09639080413263752,9.013980057409968e-06,5.379950627515439,5073.008449792862
29,16545,0.24473084086362565,0.14833598634192646,0.09638909438204706,5.76013531013204e-06,5.379950627515439,5272.0555946826935
30,16545,0.2447305290589667,0.1483359907255878,0.0963889906845591,5.547594264245644e-06,5.379950627515439,5474.288537502289
