epoch,steps,avg_total_loss,avg_tf_loss,avg_rl_loss,avg_cs_loss,avg_reward,avg_pred_reward,elapsed_sec,val_score,val_rt_acceptance_rate,val_rt_fallback_rate,val_rt_guardrail_block_rate,val_rt_model_proposed,val_rt_model_applied,val_rt_fallback_used,val_rt_guardrail_block
1,1103,3.517197982679144,0.11545683052506828,3.394392362099178,0.00734879968564329,-0.15611059261388632,-1.4807913894062414,42.287285804748535,0.30090887248188847,0.0,10.0,0.0,0.0,0.0,10.0,0.0
2,1103,3.2874971910811293,0.10276038227914723,3.178179482600955,0.006557324796383119,-0.15611059261388632,-1.2797957257285224,97.65259003639221,0.30090887248188847,0.0,10.0,0.0,1.0,0.0,10.0,0.0
3,1103,3.243230602953073,0.09961780262534402,3.139468522527925,0.004144278689075212,-0.15611059261388632,-1.2408688585540952,160.76363134384155,0.30090887248188847,0.0,1.25,0.0,8.0,0.0,10.0,0.0
