epoch,steps,avg_total_loss,avg_tf_loss,avg_rl_loss,avg_cs_loss,avg_reward,elapsed_sec
1,16545,0.19173022403870646,0.09151622658095739,0.09834246102239454,0.001871536464470011,3.002154207381073,319.36368799209595
2,16545,0.19094931943030805,0.09079583496058524,0.09913132271528911,0.0010221618330787017,3.002154207381073,650.5191261768341
3,16545,0.19246589286592286,0.08907858084305698,0.10260212443013443,0.0007851875058369503,3.002154207381073,987.7261748313904
4,16545,0.1945135518976612,0.08971371185379447,0.10454633975073863,0.0002535002815405004,3.002154207381073,1358.19899892807
5,16545,0.19295244903795378,0.08904576738495239,0.10361255191037025,0.0002941298289732646,3.002154207381073,1781.5304369926453
6,16545,0.19738309316542005,0.09485410354235355,0.10183152503154418,0.0006974645789522781,3.002154207381073,2235.9194507598877
7,16545,0.19550792862143032,0.09010118301186669,0.10536446759147396,4.2278000026865714e-05,3.002154207381073,2709.176978826523
8,16545,0.1952163154188961,0.08975103214083661,0.10544954693724003,1.573636537896103e-05,3.002154207381073,3219.644181251526
9,16545,0.1952506940271486,0.0897859854070342,0.10545747668958697,7.231910703670024e-06,3.002154207381073,3796.926309108734
10,16545,0.1952611590492722,0.08979583632220095,0.1054577857630481,7.5369940240040195e-06,3.002154207381073,4414.656624555588
11,16545,0.19526487269907983,0.0897988400642976,0.10545813700441026,7.895584820545523e-06,3.002154207381073,5034.474605798721
12,16545,0.19526534070969798,0.08979989644078086,0.10545740679042007,8.037551012310933e-06,3.002154207381073,5649.380576133728
13,16545,0.19526542442954625,0.0898003166432817,0.10545736779818106,7.739984245371074e-06,3.002154207381073,6261.704979896545
14,16545,0.195266361898681,0.08980050289045921,0.1054581484809556,7.7104129301664e-06,3.002154207381073,6875.593539237976
15,16545,0.19526704890311808,0.08980059376412575,0.10545817197823071,8.283223911441614e-06,3.002154207381073,7487.664675474167
16,16545,0.19526653651730122,0.08980064163067238,0.10545827314462027,7.621754905362087e-06,3.002154207381073,8099.779826879501
17,16545,0.1952651935294338,0.08980066841257127,0.10545735624803927,7.1688278821981684e-06,3.002154207381073,8710.962618112564
18,16545,0.19526680013636027,0.08980068437390347,0.1054577769415518,8.338776311271296e-06,3.002154207381073,9329.637237071991
19,16545,0.1952657366235087,0.0898006938770526,0.10545766708613834,7.375612966296688e-06,3.002154207381073,9946.38056564331
20,16545,0.19526661406796067,0.08980069995561407,0.10545811981431633,7.794320958796906e-06,3.002154207381073,10565.313297748566
21,16545,0.19526578112074475,0.0898007038780329,0.10545744685720547,7.630301474479029e-06,3.002154207381073,11184.943222284317
22,16545,0.19532302515330757,0.08980070634422237,0.10549901506250539,2.330365387768545e-05,3.002154207381073,11804.825959920883
23,16545,0.19526474099942892,0.08980070810847211,0.10545732792530224,6.704992305938075e-06,3.002154207381073,12421.106210708618
24,16545,0.19526369844265812,0.08980070915851088,0.10545722697675941,5.762257764511451e-06,3.002154207381073,13038.856003761292
25,16545,0.1952637598366581,0.08980070983500739,0.10545732388720769,5.726151983039703e-06,3.002154207381073,13656.519791126251
26,16545,0.19526332824663495,0.08980071035783145,0.10545703699883627,5.580980875498251e-06,3.002154207381073,14269.656990766525
27,16545,0.19526384796606122,0.0898007107111092,0.10545732250050407,5.814700011488505e-06,3.002154207381073,14886.597461223602
28,16545,0.19526312342389235,0.0898007109900838,0.10545716260626875,5.24982636656127e-06,3.002154207381073,15501.376585960388
29,16545,0.19526438790225178,0.08980071117437816,0.1054579772925839,5.699430850307933e-06,3.002154207381073,16115.745202064514
30,16545,0.19526402773636728,0.08980071130620998,0.10545730668343649,6.009660017145659e-06,3.002154207381073,16732.745507240295
