epoch,steps,avg_total_loss,avg_tf_loss,avg_rl_loss,avg_cs_loss,avg_reward,avg_pred_reward,elapsed_sec,val_score,val_rt_acceptance_rate,val_rt_fallback_rate,val_rt_guardrail_block_rate,val_rt_model_proposed,val_rt_model_applied,val_rt_fallback_used,val_rt_guardrail_block
1,1656,3.689170112500444,0.1635319901763007,3.5190309467522995,0.006607179701453653,5.40380467082601,-1.5580635718073312,244.05886363983154,1.090297383725124,0.6994134897360704,6.292155425219942,0.15835777126099707,37.5,27.0,228.0,5.5
2,1656,3.6392554823615124,0.1595013762716258,3.4776625186924774,0.002091589691898857,5.40380467082601,-1.4616562082243196,503.7961015701294,1.0856581262144311,0.6505910165484634,4.7520094562647754,0.11016548463356975,46.0,30.0,218.5,5.0
3,1656,3.6170744530244727,0.15560616553167178,3.460667339643994,0.000800948019156781,5.40380467082601,-1.4279027404668327,764.3172378540039,1.087888095077775,0.5617241379310345,4.023103448275862,0.12448275862068965,54.0,30.5,215.5,6.5
4,1656,3.6094901678354843,0.15395240343832703,3.4549685202646945,0.0005692441144512042,5.40380467082601,-1.384897342451651,1025.958021402359,1.0902685459735868,0.6639215686274509,4.247843137254902,0.0892156862745098,50.5,33.5,214.5,4.5
5,1656,3.605175669354517,0.15346584826311915,3.4513009235190886,0.0004088986698876609,5.40380467082601,-1.3851768795263888,1292.18998503685,1.0923698078166955,0.4776315789473684,3.654824561403509,0.08552631578947367,58.5,28.0,213.5,5.0
